bus_id,time,ridership_count
20283,760,9
13213,760,3
20281,760,9
6557,760,0
17626,760,1
19051,760,22
13211,760,1
18014,760,4
15189,760,3
19412,760,1
15187,760,4
13215,765,4
20284,765,0
9418,765,0
7151,765,7
15187,765,4
19051,765,21
18018,765,0
6553,765,0
13216,765,1
20283,765,3
4851,765,4
6557,765,0
18021,765,11
13209,765,2
4855,765,3
4856,765,3
18014,765,4
4885,765,7
15189,765,0
15188,765,1
17625,765,19
20281,765,9
6556,765,0
4857,765,0
13213,765,0
6555,765,0
17626,765,1
7149,765,1
13211,765,0
4864,765,2
18620,765,0
20285,765,0
18020,765,11
19412,765,1
13208,765,2
19050,765,0
7149,770,1
13216,770,4
18021,770,11
4856,770,3
15189,770,0
4885,770,0
6555,770,0
19051,770,25
13208,770,4
20284,770,0
20281,770,9
18020,770,11
19412,770,1
4851,770,7
13211,770,1
19050,770,0
17625,770,17
17626,770,1
15188,770,1
6557,770,0
4864,770,2
20285,770,1
18620,770,0
6556,770,0
4857,770,1
9418,770,1
13209,770,2
13213,770,3
7151,770,9
18018,770,0
15187,770,5
6553,770,0
18014,770,0
13215,770,4
4855,770,4
20283,770,1
13209,775,1
4857,775,1
20281,775,7
4864,775,0
13208,775,5
6553,775,0
20283,775,1
7151,775,12
6557,775,1
13216,775,1
17626,775,1
15188,775,0
18620,775,0
18020,775,8
4855,775,5
13213,775,3
19051,775,29
7149,775,2
19412,775,4
15189,775,1
9418,775,2
4885,775,0
18014,775,0
15187,775,8
18021,775,11
17625,775,5
19050,775,0
13211,775,1
6556,775,0
4851,775,3
6555,775,0
18018,775,0
20285,775,0
13215,775,3
4856,775,4
20284,775,1
18018,780,0
6557,780,0
4864,780,1
9418,780,1
20284,780,4
4885,780,3
6555,780,0
18021,780,10
13208,780,5
20281,780,7
19412,780,8
13216,780,1
15189,780,1
19050,780,0
4851,780,4
19051,780,30
13213,780,2
20285,780,1
6553,780,0
4855,780,5
13211,780,0
7151,780,15
17626,780,1
13209,780,1
17625,780,4
6556,780,0
18020,780,1
7149,780,2
4857,780,1
4856,780,4
13215,780,0
15187,780,10
15188,780,0
18620,780,0
20283,780,0
18014,780,0
13211,785,0
6557,785,0
7151,785,11
13208,785,7
13213,785,3
9418,785,0
20285,785,0
18018,785,0
19050,785,1
17625,785,3
15189,785,1
15188,785,0
13209,785,1
17626,785,3
20281,785,7
13215,785,0
4864,785,1
4856,785,4
19412,785,7
6555,785,0
18620,785,1
6553,785,0
15187,785,10
18021,785,12
18623,785,0
18014,785,0
4867,785,0
4885,785,2
7149,785,1
20284,785,0
6556,785,0
13216,785,3
20283,785,1
4857,785,0
4851,785,5
4855,785,5
19051,785,30
18020,785,0
4855,790,7
4857,790,3
6553,790,1
13211,790,3
13209,790,3
7149,790,1
6555,790,0
18623,790,3
4867,790,1
20284,790,0
6556,790,0
4851,790,5
4856,790,6
20285,790,0
7151,790,5
13215,790,3
18018,790,0
19050,790,0
17625,790,10
15188,790,1
17626,790,4
13213,790,3
13208,790,4
4885,790,2
20283,790,1
19412,790,4
18014,790,0
6557,790,0
18021,790,9
13216,790,2
9418,790,0
15189,790,1
4864,790,1
15187,790,10
18620,790,3
19051,790,30
18020,790,2
20281,790,8
9418,795,0
18018,795,0
19050,795,0
19412,795,1
7151,795,5
4864,795,1
15188,795,1
13215,795,3
4851,795,4
20283,795,1
6557,795,4
